Original Sentence,Source Link
"The two were initially buried at the station, however, the bodies were later exhumed for interment at Fort Bowie.",https://en.wikipedia.org/wiki/Pionsenay
"Due to the influx of Catholic immigration in Zurich in the 19th century, the church was built from 1893 to 1894 under the Romanesque Revival architecture designs of the architect August Hardegger.","https://en.wikipedia.org/wiki/Liebfrauenkirche,_Zurich"
"In the 19th century, more and more Catholics from eastern and central Switzerland migrated to Zurich, and the need for a Catholic church arose.","https://en.wikipedia.org/wiki/Liebfrauenkirche,_Zurich"
"In 1889, the association attempted to acquire a building site on the shores of Lake Zurich, but was prevented due to religious reservations in Zurich.","https://en.wikipedia.org/wiki/Liebfrauenkirche,_Zurich"
"After this failure, the community made an appeal for donations with the approval of the Bishop of Chur, which drew attention to the struggling situation of the Catholics in Zurich and eventually provided the necessary funds to purchase lots and plan church buildings.","https://en.wikipedia.org/wiki/Liebfrauenkirche,_Zurich"
"When the church was consecrated in 1894, its decorations were simple due to a lack of funds.","https://en.wikipedia.org/wiki/Liebfrauenkirche,_Zurich"
"Schreiber received a gold medal for his flight at the 1936 Summer Olympics closing ceremony, and is the only person to have ever received an Olympic medal for aeronautics, since the prize was subsequently discontinued.",https://en.wikipedia.org/wiki/Hermann_Schreiber_(pilot)
"In 1976, his family left him because they could not cope with his lifestyle.",https://en.wikipedia.org/wiki/Hermann_Schreiber_(pilot)
"In the first round of qualification, 12 teams who were not participating at the 2024 European Championship will play a singled round-robin with the winners advancing to the second phase, where the teams will be joined by the remaining ten teams from the European Championship and play play-off games to determine the qualified teams.",https://en.wikipedia.org/wiki/2025_World_Women%27s_Handball_Championship_–_European_qualification
"NGC 5630 is listed as a field galaxy, i.e. one does not belong to a larger galaxy group or cluster and hence is gravitationally alone.",https://en.wikipedia.org/wiki/NGC_5630
"The church is colloquially known as the Rác Church streaming from the word Rascians, a historical term for Serbs.","https://en.wikipedia.org/wiki/Church_of_St._Nicholas,_Eger"
Sometimes this species occurs as an annual plant if it is growing in certain conditions.,https://en.wikipedia.org/wiki/Acmispon_tomentosus
"Acmispon tomentosus var. tomentosus is the one subspecies in the genus, generally identified by having less red in their buds and a lot more hairy leaves.",https://en.wikipedia.org/wiki/Acmispon_tomentosus
"Prior to his acting debut, he was one of the regular hosts of the university student-focused talk show College Talk",https://en.wikipedia.org/wiki/Da-her_Lin
Lin made his acting debut with a minor role in the 2013 romance film Campus Confidential.,https://en.wikipedia.org/wiki/Da-her_Lin
"In 2021, Lin received his first sole male lead role in the fantasy series The Pond [zh] directed by Cheng Wei-hao,[22] for which he received a nomination for Best Leading Actor in a Miniseries or Television Film in the 57th Golden Bell Awards for this role.",https://en.wikipedia.org/wiki/Da-her_Lin
"In 48 years of service, he oversaw the growth of the Duke University Library (originally Trinity College) from a single room in 1898 to over a million books and documents in modern facilities at his retirement in 1946.",https://en.wikipedia.org/wiki/Joseph_Penn_Breedlove
"Breedlove was born in 1875 in Granville County, North Carolina near Oxford, to John Henry Breedlove and Susan Caroline Hunt Breedlove. ",https://en.wikipedia.org/wiki/Joseph_Penn_Breedlove
"As the collection grew rapidly over the next 30 years, Breedlove labored to manage the flood of donations and purchases amid staff shortages.",https://en.wikipedia.org/wiki/Joseph_Penn_Breedlove
"He was involved in the planning for three new library buildings, each necessitating a transfer of the entire collection.",https://en.wikipedia.org/wiki/Joseph_Penn_Breedlove
"In 1902, a major gift by James Buchanan Duke enabled the construction of a new library which opened in 1903, supplemented by an additional gift of $10,000 to purchase books.",https://en.wikipedia.org/wiki/Joseph_Penn_Breedlove
"The home he built in 1915 at 407 Watts Street in Durham's Trinity Historic District, a ""restrained Neo-Classical design reminiscent of the more elaborate (former) Watts Hospital"", was designated an historic site with a plaque from the Historic Preservation Society of Durham in 2006.",https://en.wikipedia.org/wiki/Joseph_Penn_Breedlove
"Before the 2023 World Championship, national coach Alfred Gislason called up Fischer to the extended squad of the German senior national team.",https://en.wikipedia.org/wiki/Justus_Fischer
"Initially formed as a photo reconnaissance flight at PAF Base Mauripur, the squadron has evolved over the decades, participating in significant missions and conflicts.",https://en.wikipedia.org/wiki/No._20_Squadron_PAF
"After being disbanded in 1972 and reactivated in 1977, the squadron transitioned through various aircraft, including the Dassault Mirage IIIRP and Shenyang F-6, before adopting the Chengdu F-7P Skybolts and later the F-7PGs.",https://en.wikipedia.org/wiki/No._20_Squadron_PAF
The squadron celebrated its Golden Jubilee in 2008 and continues to play a vital role in PAF’s operational activities and exercises.,https://en.wikipedia.org/wiki/No._20_Squadron_PAF
The unit was originally established in March 1956 as a photo reconnaissance flight at PAF Base Mauripur flying Lockheed RT-33 Shooting Stars under the command of Flight Lieutenant Zulfiqar Ali Khan.,https://en.wikipedia.org/wiki/No._20_Squadron_PAF
"On the outbreak of the 1965 Indo-Pakistani war, the squadron flew 24 Aerial reconnaissance missions with the Lockheed RT-33s providing vital photographic data coverage to the PAF and the Army.",https://en.wikipedia.org/wiki/No._20_Squadron_PAF
"After the war, the squadron was disbanded in June 1972 with it's assets transferred to No. 2 Squadron.",https://en.wikipedia.org/wiki/No._20_Squadron_PAF
Grgić was called up to the extended squad of the German national team for a training course in May 2024 and made his first appearance in a friendly against Sweden on 12 May 2024.,https://en.wikipedia.org/wiki/Marko_Grgić_(handballer)
"The presence of ancient remains at North Elmham in Norfolk, and South Elmham in Suffolk has lead to both sites being championed as the location although neither has remains dating to the seventh century.",https://en.wikipedia.org/wiki/See_of_Elmham
"He was an experienced mountaineer, and had reconnoitred the world’s third highest mountain, Kanchenjunga, before joining the 1922 Mount Everest expedition.",https://en.wikipedia.org/wiki/Colin_Crawford_(mountaineer)
"He died in 1959, reportedly while playing cricket.",https://en.wikipedia.org/wiki/Colin_Crawford_(mountaineer)
"The prominent Monaldeschi family has various palaces in Central Italy, and exerted significant power in medieval Orvieto.","https://en.wikipedia.org/wiki/Palazzo_Monaldeschi,_Orvieto"
